type,title,level,requirements,acc,speed,endurance,ilus,pic,logo
car,Cremrolet Posrando,standard,,1,3,2,minivan,01-cremrolet-posrando.jpg,cremrolet
car,Shitroën Moskvago,standard,,1,2,3,minivan,02-shitroen-moskvago.jpg,shitroen
car,Shitroën Sratchkus,standard,,2,3,2,cuv,03-shitroen-sratchkus.jpg,shitroen
car,Sracia Fluster,standard,,2,2,3,suv,04-sracia-fluster.jpg,sracia
car,Fiask Multiprdla,standard,,1,3,3,minivan,05-fiask-multipla.jpg,fiask
car,Frnd Mucus,standard,,1,3,2,cuv,06-frnd-mucus.jpg,frnd
car,Hnuyday IQ20,standard,,1,2,2,hatchback,06-hnuyday-iq20.jpg,hnuydai
car,Kakia Pee'd,standard,,2,3,2,hatchback,08-kakia-peed.jpg,kakia
car,Lama Chliva,standard,,1,1,5,sedan,09-lama-chliva.jpg,lama
car,Hnissan Meshqai,standard,,2,2,2,coupe,10-hnissan-meshqai.jpg,hnissan
car,Frnd Siesta,standard,,2,3,1,coupe,11-frnd-fiesta.jpg,frnd
car,Snopel Castrat,standard,,2,3,2,hatchback,12-snopel-castrat.jpg,snopel
car,Hlenault Blio,standard,,1,3,2,hatchback,13-hlenault-blio.jpg,hlenault
car,Hlenault Végane,standard,,2,3,3,sedan,14-hlenault-vegan.jpg,hlenault
car,Hownda Paccord,standard,,1,3,2,sedan,15-hownda-pacord.jpg,hownda
car,Pshouda Felacia,standard,,1,2,2,hatchback,16-pshouda-felacia.jpg,pshouda
car,Pshouda Okhtzavia,standard,,1,3,2,cuv,17-pshouda-ochcavia.jpg,pshouda
car,Pshouda Shitigo,standard,,1,2,1,micro,18-pshouda-shitigo.jpg,pshouda
car,Su-u’baru Depreza,standard,,2,2,3,cuv,19-suubaru-depreza.jpg,suubaru
car,Seppuki Vogon,standard,,1,2,1,micro,20-seppuki-vogon.jpg,seppuki
car,Yotoya Colorra,standard,,1,3,2,hatchback,21-yotoya-colorra.jpg,yotoya
car,Yotoya Yahryz,standard,,1,3,1,micro,22-yotoya-yahryz.jpg,yotoya
