type,title,test,reward,image,text
quest,Glued handle,P,1,01-klika_namazana_lepidlem,
quest,Unopenable chest,P,1c,neotevritelna_truhlicka,
quest,Bear trap,P,1,03-medvedi_past,
quest,Falling grille,P,1c,04-padajici_mriz,
quest,Waste crusher,P,1,05-drticka_smesneho_odpadu,
quest,Swallowed by whale,P,1,06-spolknuti_vorvanem,Ham!
quest,Piranha bath,P,2,07-lazen_s_piranemi,
quest,Metal sheet press,P,2c,08-lisovna_plechu,
quest,Laughing gas,P,2,09-rajsky_plyn,"Och, ta vůně!"
quest,Intestines-etching gas,P,2,10-strevaleptajici_plyn,
quest,Circular saw room,P,2c,11-mistnost_cirkularek,
quest,Acid-blooded cyanide-spitting biomutant,P,3,12-kyselinokrvykyanidoslinny_biomutant,
quest,Chainsawtooth tiger,P,3c,13-motoropilozuby_tygr,
quest,Tyrannosaurus,P,3,14-tyranosaurus,Je to samice.
quest,Cablectopus,P,3cc,15-kabelnice,
quest,Trapped chest,S,1c,16-zapastena_truhlicka,
quest,Laser cutter,S,1,17-laserovy_rezak,
quest,Acid spring,S,1,18-pramen_kyseliny,
quest,Falling portal,S,1,19-bortici_se_chodba,
quest,Trapdoor,S,1,20-propadlo,
quest,Narrow bridge,S,1c,uzky_mustek,
quest,Fire circle,S,2,ohnivy_kruh,Skok nebo smrt!
quest,Embers,S,2,23-zhave_uhliky,
quest,Acid pool,S,2c,24-bazen_kyseliny,"Běž rychle, ale opatrně!"
quest,Oiled slope,S,2,naolejovana_sikma_plocha,
quest,Lava room,S,2c,26-lavova_mistnost,"Běž opatrně, ale rychle!"
quest,Falling piranhas,S,3,27-padajici_pirane,"Piraně, všude piraně!"
quest,Blade-winged butterflies,S,3c,motyli_s_ziletkovymi_kridly,Ostré jako laser.
quest,Wild hornets,S,3,29-hejno_divokych_srsnu,Dorůstají až 80 cm.
quest,Rolling stone,S,3cc,30-valici_se_kamen,
quest,Poisoned feast,I,1,31-otravena_hostina,Za 30 stříbrných Jidáš zakoupil slevněné koření.
quest,Weird smelly potion,I,1,32-lektvar_podivuhodneho_zapachu,Jedo čuchnutí porazí slona.
quest,Suspiciously luminiscenting potion,I,1,33-lektvar_podezrele_svetelkujici_kapaliny,Světélkuje v divném rytmu.
quest,Vending machine,I,1c,automat_s_obzerstvenim,
quest,Dummy troll,I,1,hloupy_troll,
quest,Locked door,I,1c,36-zamcene_dvere,
quest,Mirror labyrinth,I,2,zrcadlovy_labyrint,
quest,Ciphered note,I,2c,sifrovany_vzkaz,Čitelný pouze za měsíčního svitu.
quest,Trapped vending machine,I,2c,zapasteny_automat_s_obzerstvenim,
quest,Laser room,I,2,40-laserova_mistnost,
quest,Giant cogs,I,2,ozubena_kola,
quest,Landmines,I,3,naslapne_miny,
quest,Room with no exit,I,3cc,mistnost_bez_vychodu,
quest,High voltage lock,I,3c,zamek_vysokeho_napeti,
quest,Drill-hand clown,I,3,vrtackoruky_klaun,Vrrrr!
animatron,Chuckie,,,chuckie,
animatron,Hentai Barbie,,,hentaibarbie,
animatron,Number 5,,,cislo5,
animatron,Humunculus,,,humunculus,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
animatron,Gaybot,,,gaybot,
animatron,Replicant,,,replikant,
animatron,Organoid,,,organoid,
animatron,Illegal clone,,,klon,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
animatron,Zombie,,,zombie,
